,0
34,"...일 모기 때문에 새벽 시에 잤다. 분명 물렸는데, 잡아서 피도 났는데, 가려운 곳이 없어서 더 짜증나... 가을 모기 시러... ...월 돌아가자~ 청주로~ 오송역에서 학교로 가는 길은 너무 험난하다..... "
35,나는 아이디어 고갈이 아니라 그냥 항상 아이디어가 없었던 거 같은데...  차례 매우 짧고 굵은 내용으로 이뤄져 있다. &quot;먼저 재능이 있어야 할 것이다.&quot; 나는 재능이 없눈거 같은뎅.. 근데 진짜 아이디어가... 
36,안녕하세요잇 ! 블로그제목 추천받습니다 ~ ^^ 이모티콘 새로받은기념 &gt;.&lt; 이번주도 블챌쭈고 ~ 내가 너무너무너무너무너무좋아하는 바보허웅짤 이때 박새로이머리따라한다고자른건데 그냥바보허웅 ♡ 허웅군... 
37,아ㄴ녕하십니까 저는 지금 정확히 번째 다시 쓰고 있습니다^^ 다시한번 말하지만 저장을 습관화 합시다. 이런 표정의 사람을 본다면 그게 바로 접니다 아픈거 아니니까 놀라지마시구요… 주도성이라곤 도 없는... 
38,*  ~  *  시험기간 스타토 시험도 시험이지만 이 날 간담회 참석해야해서 좀 바빴다 신경 써야할 게 많았던 하루 .. 기빨려 뒤짐 .. 그리고 역시 탈주는 빠를수록 좋다는 것을 다시 한 번 느꼈음 역시... 
39,잇님들(명)!!!!! 안뇽하쎄요!!!!!!! 한 주 잘 보내셨는지요 저는 매우 긴 한 주를 보냈읍니다…. 왜인진 모르겠고요 그냥 체감상 긴거 같아요 우선 이메다처럼 보이는 그림자 저 날은 발가락 아파서 조퇴한 날…..... 
40,색 왕창 내보고 싶어요! 사이즈는 좀 크게! 사실 할일은 태산 같으면서도 또 그 뒤에 일을 벌리고 싶네요 아무말 대잔치여도 좋으니 아이디어 막 던져주세요! 옛날거 사신적 엤다면 그거 리뉴얼 해주세요 도 좋아요!!
41,하이 할말없네요 저번거 이어서 Previous image Next image 뒷마당 놀러와준 야옹짱 옆집? 고양이라는데 요즘은 안놀러와 왜 ㅠ Previous image Next image 옷사고시퍼라… 요즘 이런광고 뜰때마다... 
42,벌써 체리벨에서 산 스티커로 어떻게 꾸며볼까 하는 아이디어 고갈... (이게 무슨일이람) 연애 권태기 같이 조금 질리는거 같기도 하고 익숙하게만 느껴지고ㅋㅋㅋ 심지어 뉴페이스를 원하는 것까쥐!! 스티커... 
43,안녕하시와요 이번주 블챌 start 친구랑 코난 보러가기로 했는데 옛날에 코난을 잘 안보기도 했고 극장판도 처음이라 큰 내용 잘 모른다했더니 코난 한번이라도 본 사람이라면 아는 코난 약먹는 얘기를... 걍 웃김... 
44,괜히 인형 옷 마무리 해줄 수 있다고 철썩같이 약속한 모양이다. 할머니는 능력부족이다. 머릿속으로 생각하는 것과 결과물이 다르다. 작아서 못신게 된 양말을 잘라서 만드는 니트의상보다 차라리 내가... 
45,등교 준비 완전 나 같음 블로그 시작 ~ .. 축제 부스를 위해 솜장 하우스 방문 ^_^ 시간 동안 달고나 만듦.. 오왁마 오늘도 왁굳형으로 마무리 ..~ 헉 기엽다 천사제 ~~ 생각보다 첫날부터 부스가... 
46,안녕하세요 뿡집사의 못난 아이디어 고갈로 인한 다이소 장난감 출현 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘 저는 일 끝난 후에 또 컴퓨터를 켜지요 오또컴 (오늘도 또 컴퓨터) 오늘 다이소 장난감... 
47,하하하하하 지찬이 너무 귀엽다 cm의 수상할 정도로 귀여운 야구선수... 요즘 야구선수는 아이돌이나 다름없는 취급을 받는 것 같다 팬들을 위해 년씩 어려진 지찬이를 보십시오 야구 팬서비스 문화가 많이... 
48,안녕하세요를레히 오늘은 화요일인데 매우할일없어서 블챌을쓰렵니따. 구경하세요 .일 퇴근하구 엄마랑 마트가서 장본후에 의도치않은 전나 대용량 카레만들기 덕선이 엄마st 손큰여자 매우 맛있읍니다... 
49,?? 류준열 봄 사실 태리랑 김우빈을 레알 코앞에서 봤는데 그걸 못 찍엇어 암튼 태리씨.. 코로나 쾌차하시길 한산 팀도 봄 좌 헤어질 결심 우 날라차기 앗싸~ 이거 체육관 언니가 알려준 오렌지주스+크림 조합인데... 
50,"#책리뷰 #책 #독서 #디자인서적 #디자인 #디자이너 아이디어가 고갈된 디자이너를 위한 책: 그래픽 디자인 편 저자 스티븐 헬러,게일 앤더슨 출판 더숲 발매 ... 이 책은 디자인을 하면서 깔끔,감성,심플만... "
51,뭐했다고 월 말인 것 인가 약간 월은 비멍하다가 한 달 다 보낸거같은데 비멍도 끝나고 진짜 살인더위 진ㅉㅉ자짜 거짓말쟁이 기상청이 정말 거짓말쟁이가 되는 조각 구름 따위를 어떻게 예측하는데!!!!!!... 
52,아이디어 개 쓰기 시작합니다. 블로그를 쓰다보니 다른 사람들은 어떻게 작성했는지 유심하게 보게... 나올 정도로 어떻게 이렇게 할 수 있는지 궁금했다 무언가 발전이 필요하다 오늘의 아이디어 개 적기. 끝.
53,냅다 바다로 시작 고도리랑 광안리 갔던 날 카페 입장 도장 찍어주는 쿠폰이 아니라 갈매기 스티커를 바다 일러스트 위에 붙이는 형식이었음 … 원래 지류 쿠폰 잘 안 받는데 강박적인 레퍼런스 수집본능... 
54,"오랜만에 챙김만 받다가 막내노릇 좋아해줘서 고마워 언니오빠야 여기 ,, 너무 맛있는데 가격이 ,,, 정신차려보면 지갑이 털털 그리고 비밀인데 주인장님 얼굴이 .. 유잼입니다? 이거 서비스로 한 잔 주셨는데... "
55,"진짜......이대로 가다가 블챌 못할 것 같아서 일상도 몇 개 올림 ㅎ 원래 월 단위로 일상을 올려서 안하려고 했는데 진짜,,,,도저히 못하겠음,,,이거라도 해야 블챌 성공할 것 같아서 일상도 적어봅니다... "
56,분명 고데기 껐다고 생각했는데 알고 보니 켜져 있었어.. 년 쓰면서 이런 일이 없었는데 나가기 전에 확인하니까 이랬어 깜짜기야 근데 사실 저거 시간 동안 켜두면 알아서 꺼짐 년 만에 할머니 집에 갔어... 
57,씨발 이정도면 나 오만원줘라 아이패드줘라 나도 힘들다 미리 쓰고 있는데 그 와중에 알바비 들어옴 급 행복해짐 님들도 행복하세용~~헤헤 카드지갑 추천 하고 나가라 가볍고 버스카드 바로 찍히는걸로
58,"안녕 바로 시작할게 하나 둘 셋 뿅 이날은 염이랑 데이트했다 완전 오랜만에 만나서 너무 반가웠음 ㅠ 만나서 덕천 가깅 ~ 돈까스 냠냠 하고 카페 '어디'로 이동 슝 냠냠 케이크가,, 너무,, 귀여워,, 블로그... "
59,"[독일워킹홀리데이: Frankfurt] 디자인 아이디어 고갈 현재 일하고 있는 미니잡은 시작은 여러가지 보조업무였는데, 어느 순간 디자인담당 업무로 바꼈다. 전문적인 일을 혼자 해야하다 보니 부담감도 크지만... "
60,"중간에 아이디어 고갈,버그,,,포함 항상 제가 세트로 배포하는 요상한 습관으로 인해 하드에서 썩어가는 것들 요기에 투척하구 가요,, 일단 요기 투척해놔야 진행할수 있을것 같아서링,,, 괜히 하드에 놔두면... "
